name,size,stars,watches,forks,owner_type,if_fork,commits,branches,releases,contributors,projects,labels,milestones,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,age,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info
julycoding/The-Art-Of-Programming-By-July,27451,19183,1907,7001,User,False,3633,1,0,99,,6,0,45,82,0,0,22,320,2,0,2376,0,0,0,0,0,0,4,,4,
git/git,140944,32911,2189,19241,Organization,False,59604,5,772,1373,,4,0,,,,,31,681,24,83,5540,33,849,82931,63151,0,0,7,17,,
memcached/memcached,8496,10150,738,2795,Organization,False,1697,5,96,156,,9,1,36,277,13,32,10,362,8,44,6226,11,88,2864,1405,0,0,5,5,,
numpy/numpy,80720,13961,514,4602,Organization,False,23179,23,172,930,,82,3,1923,6667,318,351,257,7703,100,690,6751,33,656,32063,21645,392601,23529,19,28,,
stedolan/jq,6848,17116,306,1019,User,False,1323,16,11,113,,34,5,498,1169,59,23,89,383,18,12,2887,7,13,69,57,0,0,45,,574,
bilibili/ijkplayer,8034,26671,1217,6963,Organization,False,2584,6,78,40,,27,0,2435,2418,97,20,49,140,2,0,2565,0,0,0,0,0,0,58,25,,
vurtun/nuklear,12127,13220,576,1085,User,False,1712,1,0,100,,9,0,208,451,0,0,31,249,0,0,1928,0,0,0,0,0,0,4,,510,
git-up/GitUp,50051,9052,175,615,Organization,False,378,5,48,40,,8,0,246,292,35,17,3,139,2,11,1767,7,19,2603,3730,0,0,12,,,
irungentoo/toxcore,10353,8599,598,1245,User,False,3771,2,1,155,,25,2,94,551,0,0,7,931,0,1,2544,0,0,0,0,0,0,13,,437,
libgit2/libgit2,53370,7461,412,1937,Organization,False,13254,101,83,395,,16,2,235,1420,43,38,90,3792,30,105,4245,9,238,7041,5855,0,0,21,37,,
facebook/zstd,23792,12228,392,1143,Organization,False,7715,39,59,151,,25,0,39,672,26,71,9,1470,7,166,1970,16,289,18966,14362,0,0,125,169,,
nodemcu/nodemcu-firmware,111215,6081,563,2759,Organization,False,2251,5,27,152,,20,1,140,1743,55,50,32,1238,20,49,2047,18,61,75195,13360,0,0,5,6,,
ggreer/the_silver_searcher,2396,20367,432,1193,User,False,2021,55,49,189,,2,1,354,390,18,8,112,531,12,2,3118,3,3,28,4,0,0,66,,1,
jonas/tig,6511,9097,173,518,User,False,2616,10,47,141,,21,1,147,481,16,16,18,365,3,4,5176,5,23,6000,5688,0,0,110,,275,
postgres/postgres,488476,6823,441,2280,Organization,False,49336,33,509,33,,0,0,,,,,0,52,0,10,8739,21,1038,340639,237579,0,0,9,5,,
videolan/vlc,379441,6217,516,2329,Organization,False,85444,1,50,540,,0,0,,,,,1,98,1,6,6807,20,1329,40725,27163,0,0,18,6,,
contiki-os/contiki,73109,3220,457,2465,Organization,False,12329,4,16,152,,30,2,430,521,15,3,168,1528,1,1,4091,0,0,0,0,0,0,4,9,,
nanomsg/nanomsg,8221,4943,457,839,Organization,False,1643,11,19,87,,6,0,6,623,1,5,1,415,1,2,2803,1,1,11,0,0,0,16,2,,
