full_name,mirror_url,archived,disabled,size,stars,watches,forks,owner_type,if_fork,description,homepage,license,files,language,formats,commits,branches,releases,contributors,topics,age,has_issues,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,labels,milestones,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info,readme
lightblueseas/jcommons-lang,,False,False,742,5,4,3,Organization,False,Project that holds different usefull utility and extension classes,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",106,Java,"{'yml': 3, 'md': 8, '': 3, 'xml': 2, 'launch': 14, 'java': 47, 'html': 13, 'config': 1, 'txt': 1, 'MF': 2, 'js': 3, 'css': 1, 'properties': 8}",435,34,4,5,0,1676,True,0,1,0,0,0,8,0,0,7,0,1,1,170,0,24,0,76,4,,,"# jcommons-langþþ<div align=""center"">þþ[![Build Status](https://travis-ci.org/lightblueseas/jcommons-lang.svg?branch=master)](https://travis-ci.org/lightblueseas/jcommons-lang)þ[![Coverage Status](https://coveralls.io/repos/github/lightblueseas/jcommons-lang/badge.svg?branch=master)](https://coveralls.io/github/lightblueseas/jcommons-lang?branch=master)þ[![Open Issues](https://img.shields.io/github/issues/lightblueseas/jcommons-lang.svg?style=flat)](https://github.com/lightblueseas/jcommons-lang/issues)þ[![Maven Central](https://maven-badges.herokuapp.com/maven-central/de.alpharogroup/jcommons-lang/badge.svg)](https://maven-badges.herokuapp.com/maven-central/de.alpharogroup/jcommons-lang)þ[![Javadocs](http://www.javadoc.io/badge/de.alpharogroup/jcommons-lang.svg)](http://www.javadoc.io/doc/de.alpharogroup/jcommons-lang)þ[![MIT license](http://img.shields.io/badge/license-MIT-brightgreen.svg?style=flat)](http://opensource.org/licenses/MIT)þ[![Donate](https://img.shields.io/badge/donate-❤-ff2244.svg)](https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=GVBTWLRAZ7HB8)þþ</div>þþThe jcommons-lang project provides several extension methods for java core classes like Class and other extension for Annotations. þThe feature extension methods can be provided over the lombok library. þþ## Key features:þþ- Very small size (<54Kb)þ- Extension methods for scan java class Classþ- Id generatorsþ- Annotations for import resources like css, js etc.þ- Extension methods for shellþþ## NoteþþNo animals were harmed in the making of this library.þþ# DonationsþþThis project is kept as an open source product and relies on contributions to remain being developed. þIf you like this project, please consider a donation through paypal: <a href=""https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=B37J9DZF6G9ZC"" target=""_blank"">þ<img src=""https://www.paypalobjects.com/en_US/GB/i/btn/btn_donateCC_LG.gif"" alt=""PayPal this"" title=""PayPal – The safer, easier way to pay online!"" border=""0"" />þ</a>þþor over bitcoin or bitcoin-cash with:þþ36JxRRDfRazLNqUV6NsywCw1q7TK38ukpCþþor over ether with:þþ0x588Aa02De98B1Ef70afeDC3ec5290130a3E5e273þþor over flattr: þ<a href=""https://flattr.com/submit/auto?fid=r7vp62&url=https%3A%2F%2Fgithub.com%2Flightblueseas%2Fjcommons-lang"" target=""_blank"">þ<img src=""http://button.flattr.com/flattr-badge-large.png"" alt=""Flattr this"" title=""Flattr this"" border=""0"">þ</a>þþ## LicenseþþThe source code comes under the liberal MIT License, making jcommons-lang great for all types of applications.þþ## Maven dependencyþþMaven dependency is now on sonatype.þCheck out [sonatype repository](https://oss.sonatype.org/index.html#nexus-search;gav~de.alpharogroup~jcommons-lang~~~) for latest snapshots and releases.þþAdd the following maven dependency to your project `pom.xml` if you want to import the core functionality of jcommons-lang:þþThan you can add the dependency to your dependencies:þþ <properties>þ   ...þ  <!-- JCOMMONS-LANG version -->þ  <jcommons-lang.version>5.2.2</jcommons-lang.version>þ   ...þ </properties>þ   ...þ  <dependencies>þ   ...þ            <!-- JCOMMONS-LANG DEPENDENCY -->þ   <dependency>þ    <groupId>de.alpharogroup</groupId>þ    <artifactId>jcommons-lang</artifactId>þ    <version>${jcommons-lang.version}</version>þ   </dependency>þ   ...þ  </dependencies>þþ## Semantic VersioningþþThe versions of jcommons-lang are maintained with the Semantic Versioning guidelines.þþRelease version numbers will be incremented in the following format:þþ`<major>.<minor>.<patch>`þþFor detailed information on versioning you can visit the [wiki page](https://github.com/lightblueseas/mvn-parent-projects/wiki/Semantic-Versioning).þþ## Want to Help and improve it? ###þþThe source code for jcommons-lang are on GitHub. Please feel free to fork and send pull requests!þþCreate your own fork of [lightblueseas/jcommons-lang/fork](https://github.com/lightblueseas/jcommons-lang/fork)þþTo share your changes, [submit a pull request](https://github.com/lightblueseas/jcommons-lang/pull/new/develop).þþDon't forget to add new units tests on your changes.þþ## Contacting the DevelopersþþDo not hesitate to contact the jcommons-lang developers with your questions, concerns, comments, bug reports, or feature requests.þ- Feature requests, questions and bug reports can be reported at the [issues page](https://github.com/lightblueseas/jcommons-lang/issues).þþ## Similar projectsþþ * [commons-lang](https://github.com/apache/commons-lang) Apache Commons Lang, a package of Java utility classes for the classes that are in java.lang's hierarchy, or are considered to be so standard as to justify existence in java.langþþ## Creditsþþ|Travis CI|þ|:-:|þ|![Travis CI](https://travis-ci.com/images/logos/TravisCI-Full-Color.png)|þ|Many thanks to [Travis CI](https://travis-ci.org) for providing a free continuous integration service for open source projects.|þ|![sonatype repository](https://avatars1.githubusercontent.com/u/33330803?s=200&v=4)|þ|Many thanks to [sonatype repository](https://oss.sonatype.org) for providing a free maven repository service for open source projects.|þ|![Coverage Status](https://coveralls.io/repos/github/lightblueseas/jcommons-lang/badge.svg)|þ|Many thanks to [coveralls.io](https://coveralls.io) for providing a free code coverage for open source projects.|þ|![Javadocs](http://www.javadoc.io/badge/de.alpharogroup/jcommons-lang.svg)|þ|Many thanks to [javadoc.io](http://www.javadoc.io) for providing a free javadoc documentation for open source projects.|"
pshepilov/subtickets-plugin,,False,False,140,0,0,2,User,False,,,,51,Java,"{'': 1, 'xml': 9, 'java': 30, 'css': 1, 'png': 2, 'js': 1, 'properties': 3, 'vm': 3, 'html': 1}",53,1,0,1,0,892,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,
JungHoYoung/OSS_A,,False,False,4802,0,0,2,User,False,OSS_A,,,25,Java,"{'java': 6, 'pptx': 2, 'md': 1, 'png': 16}",131,2,0,3,0,604,True,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,"# OSS_AþþOpenSource SoftWare in Class.þGroup A's TeamProjectþþ목표 : 지뢰찾기구현þ기본적으로 ""Zakir289/Minesweeper""를 포크하여 부족하고 채울 부분 소스코드 작성.þ1. Grid.java를 Main.java로 수정하여 작성.þ2. 추후에 Main.java를 세개로 복사하여 난이도를 하, 중, 상으로 구현þ3. 기본에 없던 깃발꽂기, 깃발삭제 등을 추가하여 구현þ4. 기존엔 좌표를 키 입력을 받아 등록하였지만, 시간의 여유가 생기면 GUI를 이용하여 마우스 클릭으로 표현할 계획."
elferna/NameNotFoundException,,False,False,34424,0,2,2,User,False,Software Engineering Project,,,46,Java,"{'java': 23, 'classpath': 1, 'project': 1, 'jsdtscope': 1, 'prefs': 1, 'component': 1, 'xml': 3, 'container': 1, 'name': 1, 'jsp': 1, 'MF': 1, 'gitignore': 1, 'fxml': 1, 'md': 1, 'class': 8}",20,11,0,5,0,1359,True,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,,,0,,"# NameNotFoundExceptionþSoftware Engineering ProjectþþþAn incomplete project based on the board game Clue.  This project was a group assignment for ""Foundations of Software Engineering"" in the Master's of Computer Science program offered at Johns Hopkins University."
karinkicks/figures,,False,False,32,0,1,2,User,False,lab1,,,13,Java,"{'docx': 1, 'java': 12}",11,1,0,1,0,611,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,
SEMSSEK2018/Kirpitch,,False,False,206,0,1,2,User,False,"First version of ""Kirpitch"" Application",,,85,Java,"{'': 2, 'xml': 39, 'ser': 1, 'gitignore': 1, 'gradle': 3, 'json': 2, 'pro': 1, 'java': 12, 'png': 20, 'properties': 2, 'jar': 1, 'bat': 1}",24,1,0,3,0,617,True,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,,,0,,
jaheikki/cucumber-selenide-allure,,False,False,14957,2,4,4,User,False,,,,60,Java,"{'': 1, 'pdf': 1, 'pdf_OLD': 1, 'md': 1, 'sh': 3, 'yml': 3, 'xml': 3, 'png': 2, 'java': 34, 'json': 2, 'properties': 5, 'feature': 3, 'sql': 1}",165,6,0,1,0,965,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,"# Cucumber & Selenide & Allure demoþþ## Latest news:þþ27.9.2019: Replaced log4j with logback + simple DataTable example in feature file (Scenario: Order a product from a catalog)þþ27.9.2019: Upgrade to Cucumber 4: https://cucumber.io/blog/announcing-cucumber-jvm-4-0-0þNote 1: this project does not use new Cucumber 4 features, but there's now an option to use them.þNote 2: use DataTable when you deliver e.g. list or map from feature file to step definition (conversion is then automatic).þþ13.1.2019: Taking REST-assured in use and thus replacing Jersey&Jackson use in Rest methods (Jersey&Jackson examples still exist in code)  þþ21.8.2018: Upgraded to Cucumber Java release 2 and TestNG (previously jUnit)!þNote: Could not upgrade yet to Cucumber Java release 3 since it has changes that are not backward compatible.þþ## Purpose of this projectþTo collect & present toolset for making E2E system tests written in Java by using common open source tools. This example project is kept very simple on purpose so that basically everyone is able to understand the code. With help of this ""project template"" you are able to develop more advanced tests, regarless if it is UI, REST, DB, SSH test or all of them.þþ#### DetailsþThis is fully working example how run Web UI tests easily with Java with Selenide library (http://selenide.org/). In this example the demo application is set up by docker and docker-compose. The tests will be run by Cucumber Java framework to be able to use Gherkin (BDD) style as testcase descriptions (see https://docs.cucumber.io/bdd/overview and https://cucumber.io/blog/2017/08/29/announcing-cucumber-jvm-2-0-0 and ). And as cherry on top of a cake we use here Allure2 framework for producing world class test report (see https://github.com/allure-framework/allure2 and https://github.com/allure-framework/allure-java). There's also a small DB usage example in CustomersPage class method addCustomer, it uses Spring JDBC template to do some simple DB tasks.  Also with help of SSH libraries included you can operate on Linux servers in e2e automated system tests. See included pdf document for more information.þþ## Preconditions:þ- Install docker for Mac: https://docs.docker.com/docker-for-mac/install/ þ- or install docker for Windows 10 Pro: https://docs.docker.com/docker-for-windows/install/þ  - Note: only Windows 10 Pro with latest updates work. Use only PowerShell for docker commands.þ- or install Vagrant box e.g. with Ubuntu 16.04 (https://app.vagrantup.com/ubuntu/boxes/xenial64) and install docker (https://docs.docker.com/engine/installation/linux/docker-ce/ubuntu/#install-docker-ce-1) and docker-compose (https://docs.docker.com/compose/install/) in it. See also: https://github.com/jaheikki/ansibleþ- Install JDK8, Maven3 and Git.þ- Optional: Download free IntelliJ IDEA IDE Community Edition (https://www.jetbrains.com/idea) and install 'Cucumber For Java' plugin in IDE. This allows you to develop and debug Cucumber/Java tests easily (works fully in both Mac and Windows).þ- To be able run testcases with BrowserStack you need to buy license or use trial period of BS. When you get your BS username and access key, set them up as environment variables in the shell you are running tests:þe.g export BROWSERSTACK_USERNAME=<username> && export BROWSERSTACK_ACCESS_KEY=<access_key>þNote: Maven VM option -Dlocal means testing the demo UI running (as docker containers) in your PC in BrowserStack, see: þhttps://www.browserstack.com/automate/javaþþNotice that 'allure-cucumber4-jvm' Maven dependency brings the Cucumber core dependencies included, see pom.xml.þþ## Stepsþþ1. Clone this repository (e.g. in ~/git dir): þ   - git clone https://github.com/jaheikki/cucumber-selenide-allure.gitþþ2. Get dependended Git repositories cloned and build needed java applications:þ   - cd ~/git/cucumber-selenide-allureþ   - ./clone_and_build_ms_demo_apps.shþþ4. Start demo application docker containers: þ   - cd ~/git/microservice-demo-acceptance-tests-copy/src/test/resourcesþ   - docker-compose -f docker-compose-dev.yml up -dþþ5. Wait for demo application start a few minutes:þ   - Web UI should appear in localhost:8080þ   - Note: Use CMD-R(CTRL-R in Windows) + SHIFT to refresh page until demo application visible.þþ   <img src=""https://raw.githubusercontent.com/jaheikki/cucumber-selenide-allure/master/readme_images/demo-application.png"" width=""400"" height=""500"">þ    þ6. Run CucumberJVM tests:þ    þ     - Run 'catalog' tests (REST test without UI):þ       - mvn clean install -Dcucumber.options=""--tags @catalog""þ     - Run 'order' tests by chrome browser:þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dselenide.browser=chromeþ     - Run 'order' tests by chrome browser with mobile size (Apple iPhone 6 size):  þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dbrowser=chrome -Dselenide.browser-size=375x667þ     - Run 'order' tests by Firefox in standalone debug grid container (Selenide default Webriver capabilities):þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dselenide.browser=chrome -Dremote=http://localhost:4445/wd/hub - Denv=local-grid (Note: take session to localhost:5900 with VNCViewer with pw 'secret')þ       OR to run in grid with custom browser (customizable Webriver capabilities):þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dselenide.browser=microservice.browser.FirefoxLinuxGridDriverProvider -Denv=local-grid (Note: take session to localhost:5900 with VNCViewer with pw 'secret')þ     - Run 'order' tests by custom firefox browser (from local page) in BrowserStack:   þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dbrowser=microservice.browser.Firefox53WindowsRemoteDriverProvider -Dlocalþ     - Run 'order' tests by custom mobile browser (from local page)  in BrowserStack:   þ       - mvn clean install -Dcucumber.options=""--tags @order"" -Dbrowser=microservice.browser.SamsungGalaxyS7_V6_0_RemoteDriverProvider -            Dlocalþ     - Run 'all' tests (catalog&order) and generate Allure test report files:þ       - mvn clean install -Dcucumber.options=""--tags @all"" -Dselenide.browser=chromeþ       - Generate the HTML report by: mvn allure:reportþ       - Open the test report ('Open in Browswer' in IntelliJ IDEA IDE project) from <project_dir>/target/site/allure-maven-plugin/index.htmlþ       <img src=""https://raw.githubusercontent.com/jaheikki/cucumber-selenide-allure/master/readme_images/allure-report.png"" width=""800"" height=""300"">þ  þ7. Stop and remove application docker containers: 'docker-compose -f docker-compose-dev.yml down -v --remove-orphans' þ   Note: Sometimes demo application hangs and it is needed to be shut it down and restart (up -d, see step 3). Or use restart: 'docker-compose -f docker-compose-dev.yml restart'"
VargaiD/PV254,,False,False,648,0,1,3,User,False,,,,102,Java,"{'': 2, 'yml': 1, 'md': 1, 'xml': 8, 'java': 72, 'keep': 1, 'jsp': 11, 'tag': 1, 'css': 2, 'jpg': 1, 'csv': 2}",148,17,0,3,0,626,True,0,32,0,0,0,34,0,0,17,1,0,0,0,0,0,0,,,0,,"# PV254þþTo locally set up database, configure persistence-mysql.properties file with database name, username and password"
enirobot/SenierProject,,False,False,59659,0,1,3,User,False,졸업 프로젝트,,,136,Java,"{'gitignore': 1, 'jar': 1, 'properties': 2, '': 2, 'exe': 1, 'cmd': 1, 'xml': 1, 'java': 34, 'css': 5, 'svg': 9, 'otf': 1, 'eot': 1, 'ttf': 1, 'woff': 1, 'woff2': 1, 'jpg': 31, 'js': 12, 'scss': 21, 'html': 10}",231,7,1,5,0,899,True,2,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,,,0,,
evrcargo/imapsize,,False,False,95,7,2,1,User,False,IMAP backup/restore tool,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",25,Java,"{'': 3, 'md': 1, 'gradle': 2, 'jar': 1, 'properties': 2, 'bat': 1, 'cmd': 1, 'java': 13, 'MockMaker': 1}",34,1,0,1,3,1072,True,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,,,0,vadimkim/imapsize,"# imapsizeþThis software is insipred by http://www.broobles.com/imapsize. Imapsize is able to check IMAP mailbox folder structure and calculate the size, backup mailbox using IMAP protocol and restore mailbox to any IMAP server.þþImapsize has some key differences from the original:þ* console applicationþ* runs on any platform where JRE 11. is installedþ* understands UTF-8 IMAP folder names and restores them correctlyþ* doesn't have 2Gb limit for the folder sizeþ* understands folder UIDs and makes message backups using original MIME message formatþ* ckecks MIME Message-ID or calculates MD5 if Message-ID is missing to avoid message duplicatesþ* user can define which folders to backup/restore by making filters. Default filter is applied to Calendar, Contacts and Deleteted Itemsþþ# Dependenciesþ* JAVA JDK 1.11þþ# Bulding and runningþ./gradlew jar  --- to build the project \þ./run.cmd      --- to run and show menuþþNB! before running the program edit build/resources/main/mbox.properties file to describe your IMAP account configurationþþ# Coverity scan resultþ<a href=""https://scan.coverity.com/projects/evrcargo-imapsize"">þ  <img alt=""Coverity Scan Build Status""þ       src=""https://scan.coverity.com/projects/14799/badge.svg""/>þ</a>"
