owner_repo,last_commit_date,num_authors,num_committers,num_domains,time_to_commit_hours,num_changed,num_issue_authors,num_issue_domains,time_to_first_attention,last_created_issue_date,last_updated_issue_date,last_created_pr_date,last_updated_pr_date,age,num_lines,num_commits,num_files,num_core,num_regular,num_casual,size,num_stars,num_forks,num_subscribers,num_total_open_issues,num_closed_issue,time_closed_issue,num_closed_pr,time_closed_pr,num_open_issue,time_open_issue,num_open_pr,time_open_pr,info
chaoss/grimoirelab-sortinghat,1589924019000.0,3,3,1,9.680000148713589,1045.0,2,2,1.840000033378601,1588064742000.0,1589916931000.0,1589716133000.0,1589916902000.0,186652172259.13403,43555.0,8,,,,,1833,30,36,16,23,1,21.440000534057617,2,1.1899999659508467,0,,0,
chaoss/grimoirelab-kingarthur,1587672124000.0,0,0,0,,0.0,1,1,0.07000000029802322,1589824610000.0,1589830514000.0,,,136620646482.969,10584.0,0,,,,,399,17,27,16,15,0,,0,,1,2.369999885559082,0,
chaoss/grimoirelab-graal,1589369060000.0,0,0,0,,0.0,1,1,6.75,1589361809000.0,1589361809000.0,1589885092000.0,1589891516000.0,64416847798.98193,8824.0,0,,,,,4162,8,22,9,10,0,,1,6.75,1,7.71999979019165,1,1.6699999570846558
chaoss/grimoirelab-manuscripts,1587672198000.0,0,0,0,,0.0,0,0,,,,,,99331858226.45093,31533.0,0,,,,,3873,11,30,17,19,0,,0,,0,,0,
chaoss/grimoirelab,1588872050000.0,0,0,0,,0.0,4,4,0.1400000024586916,1589845589000.0,1589970298000.0,,,136727451049.76904,80845.0,0,,,,,272541,157,63,23,65,1,4.159999847412109,0,,3,92.89666938781738,0,
chaoss/grimoirelab-sigils,1588692490000.0,0,0,0,,0.0,2,2,20.0,,,1589818597000.0,1589820049000.0,124552827330.51392,42340.0,0,,,,,22745,25,46,18,14,0,,0,,0,,2,13.039999723434448
chaoss/grimoirelab-elk,1589798439000.0,1,1,1,4.190000057220459,301.0,4,4,0.2328571416437626,1589880975000.0,1589893283000.0,1589892227000.0,1589893591000.0,146392267979.8689,94242.0,3,,,,,5261,48,64,20,36,1,6.21999979019165,2,6.7799999713897705,3,4.193333387374878,1,1.590000033378601
chaoss/grimoirelab-kidash,1584706518000.0,0,0,0,,0.0,0,0,,,,,,89917836518.33398,1864.0,0,,,,,93,3,24,12,4,0,,0,,0,,0,
chaoss/grimoirelab-cereslib,1588271578000.0,0,0,0,,0.0,0,0,,,,,,132399654127.7539,9204.0,0,,,,,166,6,24,14,1,0,,0,,0,,0,
chaoss/grimoirelab-toolkit,1587672425000.0,0,0,0,,0.0,0,0,,,,,,95438111124.35107,1798.0,0,,,,,55,4,19,16,2,0,,0,,0,,0,
chaoss/grimoirelab-sirmordred,1589798459000.0,2,2,1,8.599999944368998,15.0,3,2,0.2500000037252903,1589494314000.0,1589531358000.0,1589820910000.0,1589820910000.0,117981094721.22607,262023.0,3,,,,,13811,24,66,21,18,2,8.925000041723251,2,3.504999913275242,1,25.850000381469727,1,2.4200000762939453
chaoss/grimoirelab-perceval,1589965721000.0,1,1,1,0.0,0.0,5,4,0.17666666644314924,1589901733000.0,1589958606000.0,1589722494000.0,1589958605000.0,150108493998.09497,139930.0,1,,,,,3210,173,101,27,65,4,6.472499975934625,1,21.100000381469727,4,5.482499957084656,1,3.559999942779541
openssl/openssl,1590009245000.0,14,8,11,11.695192284308947,2092.0,91,18,7.162011360760008,1590008509000.0,1590023389000.0,1590003048000.0,1590027559000.0,675792395156.2048,1378043.0,52,,,,,198171,12989,5747,877,1248,37,26.430810623475022,70,72.58800081216863,52,74.36673021889649,44,100.26431787284938
julycoding/The-Art-Of-Programming-By-July,27451,19178,1907,7000,User,False,3633,1,0,99,,6,0,45,82,0,0,22,320,2,0,2376,0,0,0,0,0,0,4,,4
git/git,141025,32902,2187,19236,Organization,False,59604,5,772,1373,,4,0,,,,,30,681,23,83,5540,33,849,82931,63151,0,0,7,17,
memcached/memcached,8496,10149,738,2794,Organization,False,1697,5,96,156,,9,1,36,277,13,32,10,362,8,44,6226,11,88,2864,1405,0,0,5,5,
ggreer/the_silver_searcher,2396,20363,432,1193,User,False,2021,55,49,189,,2,1,354,390,18,8,112,531,12,2,3118,3,3,28,4,0,0,65,,1
bilibili/ijkplayer,8034,26669,1217,6961,Organization,False,2584,6,78,40,,27,0,2435,2418,97,20,49,140,2,0,2565,0,0,0,0,0,0,58,25,
stedolan/jq,6848,17107,306,1019,User,False,1323,16,11,113,,34,5,497,1169,58,23,89,383,18,12,2887,7,13,69,57,0,0,45,,574
vurtun/nuklear,12127,13220,576,1084,User,False,1712,1,0,100,,9,0,208,451,0,0,31,249,0,0,1928,0,0,0,0,0,0,4,,510
numpy/numpy,80657,13950,514,4597,Organization,False,23166,23,172,928,,82,3,1918,6662,312,347,260,7695,103,682,6751,32,652,31956,21557,391945,23498,19,28,
irungentoo/toxcore,10353,8601,598,1245,User,False,3771,2,1,155,,25,2,94,551,0,0,7,931,0,1,2544,0,0,0,0,0,0,13,,438
git-up/GitUp,50051,9050,175,615,Organization,False,378,5,48,40,,8,0,246,292,35,17,3,139,2,11,1767,7,19,2603,3730,0,0,12,,
libgit2/libgit2,53369,7458,412,1938,Organization,False,13254,101,83,395,,16,2,234,1420,42,38,90,3792,30,105,4245,9,238,7041,5855,0,0,21,37,
nodemcu/nodemcu-firmware,111215,6080,564,2759,Organization,False,2251,5,27,152,,20,1,139,1743,53,51,32,1238,20,49,2047,18,61,75195,13360,0,0,5,6,
raspberrypi/linux,2405486,6803,746,3320,Organization,False,798473,66,53,9722,,11,0,307,2129,103,75,26,1192,8,103,6639,51,371,3133,1637,0,0,25,1,
jonas/tig,6511,9098,173,518,User,False,2616,10,47,141,,21,1,148,480,17,15,18,365,3,4,5176,5,23,6000,5688,0,0,110,,275
facebook/zstd,23792,12222,392,1142,Organization,False,7715,39,59,151,,25,0,39,672,26,71,9,1470,7,166,1970,16,289,18966,14362,0,0,125,169,
videolan/vlc,379372,6215,515,2327,Organization,False,85433,1,50,540,,0,0,,,,,1,98,1,6,6807,20,1318,40362,27096,0,0,18,6,
postgres/postgres,488466,6824,442,2279,Organization,False,49333,33,509,33,,0,0,,,,,0,52,0,10,8739,21,1035,340573,237495,0,0,9,5,
contiki-os/contiki,73109,3218,457,2464,Organization,False,12329,4,16,152,,30,2,430,521,15,3,168,1528,1,1,4091,0,0,0,0,0,0,4,9,
nanomsg/nanomsg,8221,4943,457,839,Organization,False,1643,11,19,87,,6,0,6,623,1,5,1,415,1,2,2803,1,1,11,0,0,0,16,2,
mruby/mruby,14042,4610,268,691,Organization,False,11441,4,13,246,,7,0,117,1353,7,30,58,3495,6,115,2978,10,231,19280,5185,6,0,3,7,
lpereira/lwan,4896,5195,309,542,User,False,2775,5,3,38,,11,0,48,145,1,0,3,84,1,4,3062,4,173,3774,2245,0,0,70,,532
jonls/redshift,2116,4605,110,330,User,False,687,8,19,43,,11,1,167,367,7,3,31,190,4,0,3874,0,0,0,0,0,0,43,,240
borgbackup/borg,18678,6272,168,474,Organization,False,5853,7,83,185,,36,7,443,2303,79,107,15,2455,11,151,3769,18,98,13827,8446,19,6,7,3,
