full_name,size,formats,files,mirror_url,archived,disabled,info
senthil-nadar/captureFailureScreenShot,2,"{'': 1, 'java': 3, 'xml': 1}",5,,False,False,
LaurieScheepers/Retire,12480,"{'': 2, 'md': 1, 'gitignore': 1, 'gradle': 3, 'properties': 3, 'pro': 1, 'java': 15, 'xml': 42, 'webp': 2, 'png': 11, 'ttf': 19, 'jar': 1, 'bat': 1}",102,,False,False,
danielreyes9756/Kata2,16,"{'xml': 3, 'mf': 1, 'properties': 2, 'java': 2}",8,,False,False,
sdcuike/all_learning_201806,1424,"{'': 4, 'md': 3, 'xml': 13, 'java': 32, 'png': 2, 'gitignore': 1, 'cmd': 1, 'json': 2, 'properties': 1, 'sql': 2, 'mwb': 1}",62,,False,False,
dbibiamine/dbibiamine,47,"{'gitignore': 1, 'jar': 1, 'properties': 2, '': 1, 'cmd': 1, 'xml': 1, 'java': 5}",12,,False,False,
xychenxy/myFirstGradle,,,,,,,Not Found
Chippasaur/selenium-java,,,,,,,Not Found
Bqtang/learndemo,,,,,,,Not Found
mtakagi777/sonar-gitlab-plugin,804,"{'': 2, 'yml': 2, 'md': 8, 'jpg': 7, 'png': 11, 'xml': 1, 'java': 62, 'properties': 1, 'txt': 1}",95,,False,False,
mbajodek/AndroidShop,191,"{'': 2, 'xml': 28, 'ser': 1, 'md': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 17, 'png': 18, 'jpg': 3, 'properties': 2, 'jar': 1, 'bat': 1}",79,,False,False,
joeryhaelewyck/address-manager,11,"{'': 3, 'md': 1, 'xml': 8, 'java': 4, 'properties': 1, 'html': 1, 'bat': 1, 'cfg': 1, 'yml': 2}",22,,False,False,
wns8628/java-chapter02,31,"{'': 3, 'prefs': 1, 'class': 14, 'java': 32}",50,,False,False,
akash-akya/xkcd-app,1359,"{'': 3, 'xml': 34, 'txt': 2, 'md': 1, 'jpg': 1, 'iml': 5, 'gitignore': 1, 'gradle': 4, 'pro': 1, 'java': 50, 'png': 23, 'properties': 3, 'jar': 1, 'bat': 1}",130,,False,False,
hokuro/AutoPick,53533,"{'': 2, 'prefs': 1, 'gradle': 1, 'txt': 1, 'java': 8, 'toml': 1, 'json': 2, 'mcmeta': 1}",17,,False,False,
zihenguncle/weekone,95,"{'gitignore': 2, 'gradle': 2, 'pro': 2, 'java': 22, 'xml': 23, 'png': 22}",73,,False,False,
eun-bi/AWARD,32865,"{'gitignore': 1, 'gradle': 1, 'jar': 11, 'pro': 1, 'java': 64, 'xml': 87, 'otf': 2, 'png': 131, 'bmp': 1, 'jpg': 1, 'txt': 1}",301,,False,False,
elregonzo/design-patterns,5703,"{'': 2, 'iml': 1, 'md': 3, 'java': 12}",18,,False,False,
HACC2018/Project-Dev,2522,"{'otf': 1, 'php': 8, 'png': 29, 'jpg': 5, 'jpeg': 1, 'js': 2, 'html': 3, 'css': 3, '': 1, 'md': 1, 'unity': 1, 'java': 9, 'xml': 36}",100,,False,False,
KriskaZo/Langton-s-Ant,9,{'java': 15},15,,False,False,
ICANESCAPE/Badge,94,"{'': 1, 'iml': 1, 'md': 1, 'jar': 1, 'xml': 1, 'java': 14, 'yml': 2}",21,,False,False,
BuleSkyline/JavaPractice,4,"{'': 2, 'java': 1, 'md': 1}",4,,False,False,
olpyhn/mapio,60739,"{'gitignore': 2, 'ser': 1, 'xml': 27, 'gradle': 3, 'json': 2, 'pro': 1, 'apk': 1, 'java': 8, 'png': 19, 'properties': 2, 'jar': 1, '': 1, 'bat': 1, 'md': 1, 'jpg': 1}",71,,False,False,
samuel-flynn/careless-whisper-widget,3544,"{'': 2, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 11, 'xml': 11, 'png': 7, 'flac': 3, 'properties': 2, 'jar': 1, 'bat': 1}",43,,False,False,
DunDung/Algorithm-Study,558,"{'': 3, 'prefs': 1, 'md': 1, 'java': 538}",543,,False,False,
zhoujj1228/study,76227,"{'classpath': 23, 'gitignore': 25, 'project': 23, 'prefs': 39, 'java': 1457, 'index': 11, 'hprof': 2, 'threads': 1, 'zip': 1, 'properties': 11, 'jar': 68, 'xml': 406, 'class': 12, 'sql': 138, 'txt': 4, 'jsdtscope': 2, 'component': 2, 'container': 2, 'name': 2, 'MF': 2, 'jsp': 9, 'gif': 1, 'js': 1, 'aj': 1, 'log': 5, 'gitattributes': 1, 'yml': 1, 'md': 4, '': 4, 'cmd': 1, 'dtd': 2, 'css': 1, 'png': 6, 'sh': 2, 'html': 1}",2271,,False,False,
klawir/TicTacToe,3,"{'java': 4, 'xml': 1, 'txt': 1}",6,,False,False,
rozimarrodrigues/Gerenciamento-de-Biblioteca,575,"{'': 3, 'md': 1, 'java': 21}",25,,False,False,
fingolfint/gs-rest-service,119,"{'': 14, 'jar': 4, 'properties': 4, 'yml': 2, 'adoc': 2, 'txt': 3, 'gradle': 2, 'helmignore': 1, 'yaml': 8, 'md': 1, 'tpl': 1, 'DS_Store': 1, 'bat': 2, 'cmd': 2, 'xml': 2, 'gitignore': 1, 'java': 7, 'json': 1, 'sh': 2}",60,,False,False,
anssirantanen/tira,370,"{'': 22, 'java': 32, 'txt': 30}",84,,False,False,
cauliframes/MasakBanyak,1052,"{'': 2, 'xml': 75, 'ser': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 45, 'png': 10, 'ttf': 10, 'properties': 2, 'jar': 1, 'bat': 1}",152,,False,False,
linqipeng/AppCommon,3837,"{'': 1, 'md': 1, 'gradle': 1, 'pro': 1, 'java': 35, 'xml': 17}",56,,False,False,
velazquez638/store,132,"{'': 4, 'properties': 13, 'md': 1, 'class': 12, 'java': 21, 'PNG': 9}",60,,False,False,
Emvimean/SpringBoot,55,"{'': 2, 'jar': 1, 'properties': 4, 'cmd': 1, 'xml': 1, 'java': 13, 'css': 1, 'html': 5}",28,,False,False,
kl0u/beam,6355,"{'': 17, 'yml': 1, 'md': 15, 'xml': 19, 'java': 914, 'html': 1, 'properties': 5, 'txt': 6, 'PipelineOptionsRegistrar': 1, 'PipelineRunnerRegistrar': 1, 'avsc': 2, 'proto': 1, 'sh': 1}",984,,False,False,
rendaxia/myedu,15560,"{'xml': 59, 'iml': 2, 'md': 1, 'java': 46, 'properties': 1, 'html': 17, 'jsp': 27, 'css': 21, 'less': 1, 'otf': 1, 'eot': 1, 'ttf': 2, 'woff': 2, 'woff2': 1, 'png': 25, 'jpg': 63, 'js': 35, 'vtt': 1, 'swf': 1, 'sql': 1, 'map': 1, 'psd': 2, 'json': 1, 'mp4': 2}",314,,False,False,
abiringira/JournalApp,474,"{'': 4, 'xml': 32, 'md': 1, 'DS_Store': 8, 'gitignore': 1, 'gradle': 3, 'json': 1, 'pro': 1, 'java': 9, 'png': 30, 'jpg': 4, 'properties': 2, 'jar': 1, 'bat': 1}",98,,False,False,
GoralSoft/WebSiteScreenShot,8305,"{'exe': 4, 'md': 1, 'xml': 2, 'java': 3, 'properties': 4, 'jar': 1, 'class': 3, 'txt': 1}",19,,False,False,
luyunfan/YunfanPlayground,12,"{'': 2, 'md': 1, 'xml': 1, 'java': 8, 'scala': 5}",17,,False,False,
esabook/AndroidCourse,146,"{'': 6, 'gitignore': 10, 'gradle': 15, 'pro': 5, 'java': 30, 'xml': 59, 'png': 50, 'properties': 10, 'jar': 5, 'bat': 5, 'md': 2}",197,,False,False,
ComeOnKissMe/News_demo,,,,,,,Not Found
MrSparsh/Encrypted-Chat,85,"{'xml': 4, 'properties': 4, 'class': 19, 'rs': 2, 'txt': 12, 'form': 3, 'png': 4, 'pdf': 2, 'jpg': 2, 'java': 18, 'jar': 1, 'TXT': 1, 'mf': 1, 'md': 1}",74,,False,False,
docusign/recipe-010-webhook-java,734,"{'': 6, 'prefs': 2, 'windows': 1, 'md': 5, 'json': 5, 'cmd': 1, 'xml': 1, 'java': 3, 'properties': 2, 'js': 5, 'crt': 1, 'css': 3, 'js/LICENSE': 1, 'js/Rakefile': 1, 'js/bin/mustache': 1, 'sh': 1, 'js/hooks/pre-commit': 1, 'nuspec': 1, 'mustache': 1, 'txt': 2, 'post': 5, 'pre': 5, 'pdf': 3, 'docx': 1, 'ftl': 4}",62,,False,False,
giorgimode/algorithms,652,"{'': 2, 'java': 17, 'xml': 2, 'txt': 222, 'png': 33}",276,,False,False,
jevyjev324/Coding,21,"{'java': 3, 'class': 1, '': 1, 'bat': 1, 'md': 1}",7,,False,False,jevinevans/Coding
1819-2ahitm-sew/assignment2-ploechldaniela,31,"{'': 1, 'md': 1, 'name': 1, 'xml': 8, 'java': 4, 'png': 1}",16,,False,False,
Chris-CCW/Calculator,3,"{'class': 2, 'java': 2}",4,,False,False,
shdrao/Day3,7,"{'': 2, 'prefs': 1, 'class': 4, 'java': 4}",11,,False,False,
LetsWater/DonatorBroadcast,,,,,,,Not Found
davidenunes/naive-bayes-spam-filter,784,"{'': 3, 'prefs': 1, 'class': 16, 'html': 39, 'gif': 1, 'css': 1, 'tf': 7, 'java': 11}",79,,False,False,
jessicaeh/MyGardenAssistant,1039,"{'': 2, 'xml': 24, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 13, 'png': 30, 'properties': 2, 'jar': 1, 'bat': 1}",78,,False,False,
LuisGuardia/proyecto1,14,"{'xml': 3, 'mf': 1, 'properties': 2, 'java': 2}",8,,False,False,
SebGonzalez/SpaceBattle,11372,"{'': 3, 'md': 1, 'java': 43, 'tsx': 4, 'tmx': 9, 'png': 141, 'jpg': 12, 'mp3': 4, 'ogg': 1}",218,,False,False,
Naturtalent/Office,52042,"{'': 2, 'xml': 31, 'classpath': 11, 'gitignore': 10, 'project': 13, 'prefs': 14, 'MF': 10, 'properties': 16, 'java': 223, 'e4xmi': 1, 'gif': 69, 'jar': 17, 'odt': 5, 'ecore': 1, 'genmodel': 1, 'view': 20, 'target': 1}",445,,False,False,
pravinrajpaul/Auter,,,,,,,Not Found
richardanemam/android-geek,78583,"{'': 24, 'lock': 1, 'properties': 49, 'bin': 1, 'xml': 485, 'gitignore': 41, 'ser': 11, 'gradle': 63, 'pro': 21, 'java': 95, 'png': 243, 'jar': 23, 'bat': 23, 'name': 4, 'jpg': 75, 'zip': 3}",1162,,False,False,
testmasterhn/CucumberSerenity,7,"{'': 3, 'prefs': 3, 'md': 1, 'gradle': 1, 'xml': 1, 'properties': 1, 'java': 4, 'feature': 1}",15,,False,False,
sundyflower/zst_jsm,9794,"{'': 4, 'ser': 1, 'xml': 268, 'md': 1, 'gitignore': 3, 'gradle': 5, 'keystore': 1, 'jar': 15, 'aar': 1, 'pro': 3, 'java': 329, 'txt': 1, 'so': 8, 'png': 185, 'mp3': 5, 'properties': 2, 'bat': 1, 'gif': 1}",834,,False,False,
