full_name,size,formats,files,mirror_url,archived,disabled,info
ggreer/the_silver_searcher,2449,"{'': 5, 'yml': 1, 'md': 3, 'am': 1, 'w32': 1, 'sh': 8, 'ac': 1, '1': 1, 'm4': 1, 'c': 12, 'h': 11, 't': 45, 'py': 1, 'err': 1, 'pdf': 1, 'txt': 1, 'disabled': 1, 'in': 1}",96,,False,False,
numpy/numpy,81390,"{'yml': 10, '': 27, 'd': 1, 'md': 14, 'txt': 22, 'in': 5, 'rst': 339, 'json': 1, 'py': 484, 'svg': 5, 'png': 40, 'tmpl': 1, 'html': 5, 'inc': 1, 'f90': 18, 'dat': 14, 'f': 15, 'pyf': 5, 'dia': 1, 'pdf': 2, 'fig': 1, 'pyx': 13, 'gif': 4, 'pxd': 5, 'pyi': 2, 'h': 118, 'c': 129, 'src': 35, 'pkl': 1, 'fits': 1, 'cfg': 1, 'npy': 4, 'npz': 2, 'patch': 6, 'typed': 1, 'csv': 8, 'ini': 3, 'toml': 1, 'example': 1, 'js': 1, 'sh': 4, 'sed': 1, 'i': 9, 'swg': 1, 'cxx': 10}",1372,,False,False,
irungentoo/toxcore,10353,"{'': 8, 'yml': 1, 'md': 12, 'am': 2, 'inc': 8, 'c': 72, 'h': 52, 'sh': 8, 'ac': 1, 'txt': 6, 'in': 3, 'm4': 3, 'py': 3, 'conf': 1, 'service': 1, 'png': 1, 'com': 1}",183,,False,False,
stedolan/jq,6848,"{'': 29, 'md': 3, 'yml': 11, 'am': 1, 'sh': 2, 'm4': 7, 'ac': 1, 'lock': 1, 'py': 4, 'css': 1, 'scss': 1, 'png': 1, 'js': 1, 'txt': 8, 'j2': 6, 'prebuilt': 1, 'spec': 1, 'in': 1, 'key': 1, 'asc': 33, 'c': 40, 'h': 31, 'jq': 16, 'html': 1, 'pdf': 1, 'l': 1, 'y': 1, 'test': 5, 'supp': 2, 'json': 2}",214,,False,False,
facebook/zstd,23811,"{'': 65, 'yml': 7, 'md': 33, 'vcproj': 8, 'sln': 4, 'props': 1, 'vcxproj': 8, 'rc': 3, 'cmd': 9, 'txt': 8, 'cmake': 5, 'in': 2, 'py': 9, 'build': 7, 'c': 137, 'sh': 32, 'cpp': 16, 'patch': 7, 'h': 98, 'diff': 2, 'lua': 2, 'png': 12, 'html': 2, 'inl': 2, 'yaml': 1, 'bat': 1, 'res': 2, '1': 3, 'zst': 1, 'gz': 1, 'cfg': 1, 'csv': 1}",490,,False,False,
memcached/memcached,8496,"{'md': 4, 'yml': 2, '': 20, 'bipbuffer': 1, 'itoa_ljust': 1, 'am': 2, 'c': 33, 'h': 25, 'sh': 2, 'ac': 1, 'alpine': 1, 'arch': 1, 'fedora': 1, 'ubuntu': 1, 'pl': 4, '1': 2, 'txt': 6, 'xml': 4, 'xsl': 2, 'ent': 2, 'dtd': 1, 'm4': 1, 'in': 1, 'd': 1, 'damemtop': 1, 'yaml': 1, 'upstart': 2, 'service': 2, 'sysconfig': 1, 'sysv': 1, 't': 78, 'pem': 7, 'pm': 1, 'conf': 1}",214,,False,False,
git-up/GitUp,50051,"{'': 16, 'yml': 1, 'md': 3, 'h': 557, 'm': 123, 'xib': 28, 'pbxproj': 7, 'xcscheme': 10, 'plist': 11, 'png': 70, 'storyboard': 1, 'json': 62, 'entitlements': 1, 'strings': 5, 'xml': 1, 'modulemap': 1, 'icns': 1, 'nib': 5, 'sh': 10, 'txt': 6, 'a': 21, 'xcconfig': 3}",943,,False,False,
vurtun/nuklear,12127,"{'': 23, 'yml': 1, 'md': 6, 'h': 26, 'm': 1, 'c': 65, 'bat': 4, 'hlsl': 1, 'cpp': 2, 'sh': 2, 'html': 1, 'png': 40, 'ttf': 11, 'json': 1, 'py': 1}",185,,True,False,
nodemcu/nodemcu-firmware,111215,"{'': 66, 'md': 136, 'yml': 3, 'txt': 5, 'c': 349, 'h': 296, 'S': 1, 'mak': 1, 'lua': 110, 'html': 2, 'sh': 10, 'css': 1, 'jpg': 5, 'png': 7, 'ico': 1, 'zip': 1, 'js': 1, 'rom': 1, 'ld': 1, 'json': 2, 'u8': 1, 'zone': 5, 'sln': 1, 'vcxproj': 2, 'filters': 2, 'py': 3, 'exe': 1}",1014,,False,False,
jonas/tig,6511,"{'': 145, 'yml': 2, 'adoc': 9, 'sh': 12, 'json': 1, 'md': 2, 'h': 43, 'c': 48, 'in': 5, 'ac': 1, 'tigrc': 5, 'make': 1, '1': 1, 'make-Darwin': 1, 'bash': 1, 'zsh': 1, 'conf': 1, 'yaml': 1, 'tgz': 6, 'gz': 1, 'expected': 1, 'supp': 1, 'dict': 1, 'm4': 5}",295,,False,False,
